"task","metric","parameter","correlation","p_value","r_squared","n_obs","sig"
"VGR","transition_probability","RH_false_starts",0.0207202349515818,0.932901905743012,0.00042932813644875,19,""
"BOB","Dwell_Time","x2_targets_completed",-0.0189689197722953,0.936733539490738,0.000359819917327776,20,""
"BOB","Occurrence","x1_left_hand_speed_maxima",-0.0173192820186859,0.942226308870052,0.000299957529642778,20,""
"OH","transition_probability","hits_with_left",0.0176211522137653,0.942920684530625,0.000310505005340686,19,""
"VGR","Dwell_Time","RH_initial_speed_ratio",0.0158802787495675,0.947019792192881,0.000252183253163966,20,""
"APM","transition_probability","LH_shift_y_m",0.012801219336563,0.957282176396727,0.000163871216502795,20,""
"OH","Occurrence","movement_area_bias",-0.0120436659381386,0.95980812453067,0.000145049889229479,20,""
"BOB","Occurrence","x2_mean_movement_time_s",-0.0120436659381386,0.95980812453067,0.000145049889229479,20,""
"VGR","Dwell_Time","RH_initial_distance_ratio",-0.00451127819548872,0.987319785553309,2.0351630957092e-05,20,""
"APM","transition_probability","RH_abs_error_x_m",-0.00376506451075383,0.987430918493599,1.4175710770138e-05,20,""
"BOB","Occurrence","x2_hand_speed_diff_m_s",-0.00263389039177308,0.991461694837937,6.93737859587457e-06,19,""
"BOB","Dwell_Time","x1_bar_length_variability",-0.00300751879699248,0.99239167872682,9.0451693142631e-06,20,""
"OH","Dwell_Time","miss_bias",0.00150432504056947,0.994977885598091,2.26299382768433e-06,20,""
